"sigma_u","sim","n","ok_proreg","ok_tmb","g1_1_P","g1_2_P","g1_3_P","g1_1_T","g1_2_T","g1_3_T","sigma_P","sigma_T","time_P","time_T"
1,19,100,TRUE,TRUE,-1.75328127717375,1.54339064955957,-0.85778669940173,-1.92318572589957,1.68497192823521,-0.916637608961103,1.15291158417033,1.08683200609515,8.78399999999999,0.295000000000016
1,20,100,TRUE,TRUE,-0.963714120803131,2.25355577637364,-0.233092638662541,-1.01225901681628,2.38125948432637,-0.232677971401703,0.957392194138759,0.835804275614852,8.16700000000003,0.312999999999988
1,21,100,TRUE,TRUE,-0.727166214838045,0.970133073370026,0.982814600505352,-0.755941364827965,1.0388902288775,1.05907687931777,1.2333721781534,1.18608624284259,9.55599999999998,0.295000000000016
1,22,100,TRUE,TRUE,-2.49469955378943,2.33725014774515,0.0537902685406474,-2.7426716927435,2.55325781844588,0.0675392596192593,1.40376436374135,1.37064563748047,9.37900000000002,0.29299999999995
1,23,100,TRUE,TRUE,-2.15776647088051,1.54324910616866,-0.385774473706329,-2.3886464282439,1.70069766783296,-0.414743281270807,1.37657320303523,1.31682512865362,8.16300000000001,0.29000000000002
1,24,100,TRUE,TRUE,-1.92012926547246,1.71039529146822,-0.321298238810207,-2.06011735153809,1.81237456928272,-0.345628784664095,1.06838714590426,0.935164142354956,9.65000000000003,0.283000000000015
1,25,100,TRUE,TRUE,-1.83617234279189,1.88766110402144,1.39847341584513,-1.95524361969957,1.97588853215103,1.43039313645309,0.947944536001241,0.838314306408825,8.43900000000008,0.307999999999993
1,26,100,TRUE,TRUE,-0.37856972241695,1.77599186551132,0.940548216832234,-0.425503589921075,1.8871256944494,1.00770131410926,1.20992741385749,1.11896986967708,9.32799999999997,0.277000000000044
1,27,100,TRUE,TRUE,-1.61077406053618,2.13612087142818,0.364716850364659,-1.75819423649499,2.24078849289305,0.339199053053275,1.21562571402539,1.10006169795518,8.76300000000003,0.283999999999992
1,28,100,TRUE,TRUE,-1.44461598397147,2.63496413920085,1.0170083031027,-1.55353356987996,2.77841420268926,1.07187125912742,1.20189573390619,1.09886065886318,11.134,0.296000000000049
1,29,100,TRUE,TRUE,-0.885291533472942,2.82139751489549,0.359790096922848,-0.965090006664396,2.9552134935205,0.364661929469149,0.902648048473273,0.81236374522525,8.68900000000008,0.261999999999944
1,30,100,TRUE,TRUE,-1.89323430516362,2.3865556296971,0.860864223841574,-2.07614809220732,2.55675696246247,0.939921979511819,1.27906281158991,1.20548505285452,8.38599999999997,0.298000000000002
