"tag","scenario","phi","alpha_true","N","sim","ok_tsbb","ok_bbjm","alpha_tsbb","se_tsbb","alpha_bbjm","se_bbjm","beta0_tsbb","beta0_bbjm","beta1_tsbb","beta1_bbjm","phi_tsbb","phi_bbjm","time_tsbb","time_bbjm"
"Sc1_phi0.5_alpha0.05",1,0.5,0.05,100,19,TRUE,TRUE,0.0770708531191854,0.0281716395546158,0.087316206135179,0.0318206466855891,-0.252380967547345,-0.261961441001146,-0.0335963936373503,0.0245109608585498,0.512896850564718,0.499822404947693,0.303000000000026,1.37
"Sc1_phi0.5_alpha0.05",1,0.5,0.05,100,20,TRUE,TRUE,0.0381264663822858,0.0198927766218795,0.040000779212149,0.0235671785111896,-0.097089230144062,-0.117653869686916,-0.0255884982372199,0.0329650367025994,0.495567171397294,0.50220519870578,0.22799999999998,1.12100000000001
"Sc1_phi0.5_alpha0.05",1,0.5,0.05,100,21,TRUE,TRUE,0.0395540439784532,0.0353976354625841,0.0394385534761138,0.0373760960296001,-0.0144675282602734,-0.0235190128668594,-0.16152020407763,-0.136396184896863,0.557342140713265,0.559549626970593,0.323000000000008,1.23500000000001
"Sc1_phi0.5_alpha0.05",1,0.5,0.05,100,22,TRUE,TRUE,0.0278158537524545,0.0202798823904313,0.031053926150855,0.0219731758818271,-0.267658910929482,-0.270254340556907,0.144509068470639,0.172094034762724,0.457427455118554,0.455529402871465,0.326999999999998,1.24000000000001
"Sc1_phi0.5_alpha0.05",1,0.5,0.05,100,23,TRUE,TRUE,-0.0244264393656299,0.0189223530630031,-0.0247033156195421,0.0202593489503171,0.0218574748104272,0.023985162790852,-0.144933999638426,-0.171180914892244,0.497861784781415,0.49857443677032,0.285999999999973,1.35400000000001
"Sc1_phi0.5_alpha0.05",1,0.5,0.05,100,24,TRUE,TRUE,0.0621571595908016,0.019328246137861,0.0674788540901398,0.0217912147092213,-0.371600415942702,-0.382028686311588,0.0714254110874409,0.118443941199476,0.455872883688499,0.454180089422619,0.33499999999998,1.507
"Sc1_phi0.5_alpha0.05",1,0.5,0.05,100,25,TRUE,TRUE,0.0352555060946061,0.0197019291909769,0.0385388575722365,0.0215058238554164,-0.131701886201637,-0.142008333977386,0.111482618419097,0.152205713064445,0.505570086773041,0.500430898170555,0.300999999999988,1.239
"Sc1_phi0.5_alpha0.05",1,0.5,0.05,100,26,TRUE,TRUE,0.0499233438100802,0.0182288693994007,0.0542722791778453,0.0195633724107622,0.0844082291732217,0.0817591017183733,-0.226516498899645,-0.17453885279704,0.400907254381935,0.402438405270191,0.329000000000008,1.37
"Sc1_phi0.5_alpha0.05",1,0.5,0.05,100,27,TRUE,TRUE,0.0535798286348366,0.022913217153697,0.0542176034250804,0.0249122086179284,0.107156306260706,0.0867879069130397,-0.0647062948290124,-0.00805704266703019,0.507041570037013,0.500635004208526,0.301000000000016,1.29599999999999
"Sc1_phi0.5_alpha0.05",1,0.5,0.05,100,28,TRUE,TRUE,0.012996966623865,0.0218822689620541,0.016425823258567,0.0234145042638188,-0.126937075753362,-0.12916275419326,-0.087948764951347,-0.0726791340721539,0.621930940132098,0.622155301172744,0.332999999999998,1.279
